"lang"
{
	"Language"		"English"


		//TALENTS SNIPER



"modifier_sniper_1_0"		"Headshot can be activated. <br><br> The hero fires a shotgun in a cone-shaped area, performing 1 attack on all affected targets. Guarantees Headshot on enemies. After firing, the hero becomes disarmed for 3 seconds. Silence duration is reduced by status resistance. <br><br> Shot Range: 450 <br> Cooldown: 6 sec."
"modifier_sniper_1_1"		"Headshot can be activated. <br><br> The hero fires a shotgun in a cone-shaped area, performing <b><font color='#eabe10'>1</font></b> attack on all affected targets. Guarantees <b><font color='#eabe10'>Headshot</font></b> on enemies. After firing, the hero becomes disarmed for 3 seconds. Silence duration is reduced by status resistance. <br><br> Shot Range: <b><font color='#eabe10'>450</font></b> <br> Cooldown: 6 sec."

"modifier_sniper_2_0" "<b><font color='#ff0000'> Maximum attack speed is 150. </font></b> <br><br> Headshot Damage Bonus: 0/30/60 + 1.5 per Strength"
"modifier_sniper_2_1" "<b><font color='#ff0000'> Maximum attack speed is <b><font color='#eabe10'>150</font></b>. </font></b> <br><br> Headshot Damage Bonus: <b><font color='#eabe10'>0</font></b>/30/60 + <b><font color='#eabe10'>1.5</font></b> per <b><font color='#eabe10'>1 Strength</font></b>"
"modifier_sniper_2_2" "<b><font color='#ff0000'> Maximum attack speed is <b><font color='#eabe10'>150</font></b>. </font></b> <br><br> Headshot Damage Bonus: 0/<b><font color='#eabe10'>30</font></b>/60 + <b><font color='#eabe10'>1.5</font></b> per <b><font color='#eabe10'>1 Strength</font></b>"
"modifier_sniper_2_3" "<b><font color='#ff0000'> Maximum attack speed is <b><font color='#eabe10'>150</font></b>. </font></b> <br><br> Headshot Damage Bonus: 0/30/<b><font color='#eabe10'>60</font></b> + <b><font color='#eabe10'>1.5</font></b> per <b><font color='#eabe10'>1 Strength</font></b>"

"modifier_sniper_3_0"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Assassinate. </font></b> <br><br> New Active Ability: Molotov Cocktail <br><br> The hero throws a grenade at the target area, igniting enemies and dealing magic damage. <br><br> Damage: 2%/3%/4% of Max Health <br> Radius: 375 <br> Burn Duration: 2 sec. <br> Area Duration: 8 sec. <br> Mana Cost: 50 <br> Cooldown: 20 sec."
"modifier_sniper_3_1"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Assassinate. </font></b> <br><br> New Active Ability: <b><font color='#eabe10'>Molotov Cocktail</font></b> <br><br> The hero throws a grenade at the target area, igniting enemies and dealing magic damage. <br><br> Damage: <b><font color='#eabe10'>2%</font></b>/3%/4% of Max Health <br> Radius: 375 <br> Burn Duration: <b><font color='#eabe10'>2</font></b> sec. <br> Area Duration: <b><font color='#eabe10'>8</font></b> sec. <br> Mana Cost: 50 <br> Cooldown: 20 sec."
"modifier_sniper_3_2"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Assassinate. </font></b> <br><br> New Active Ability: <b><font color='#eabe10'>Molotov Cocktail</font></b> <br><br> The hero throws a grenade at the target area, igniting enemies and dealing magic damage. <br><br> Damage: 2%/<b><font color='#eabe10'>3%</font></b>/4% of Max Health <br> Radius: 375 <br> Burn Duration: <b><font color='#eabe10'>2</font></b> sec. <br> Area Duration: <b><font color='#eabe10'>8</font></b> sec. <br> Mana Cost: 50 <br> Cooldown: 20 sec."
"modifier_sniper_3_3"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Assassinate. </font></b> <br><br> New Active Ability: <b><font color='#eabe10'>Molotov Cocktail</font></b> <br><br> The hero throws a grenade at the target area, igniting enemies and dealing magic damage. <br><br> Damage: 2%/3%/<b><font color='#eabe10'>4%</font></b> of Max Health <br> Radius: 375 <br> Burn Duration: <b><font color='#eabe10'>2</font></b> sec. <br> Area Duration: <b><font color='#eabe10'>8</font></b> sec. <br> Mana Cost: 50 <br> Cooldown: 20 sec."

"modifier_sniper_4_0"		"Status Resistance: 10%/20%"
"modifier_sniper_4_1"		"Status Resistance: <b><font color='#eabe10'>10%</font></b>/20%"
"modifier_sniper_4_2"		"Status Resistance: 10%/<b><font color='#eabe10'>20%</font></b>"

"modifier_sniper_5_0"		"Increased Number of Attacks when Headshot is activated: 1 + 1 for every 300/200 Strength"
"modifier_sniper_5_1"		"Increased Number of Attacks when Headshot is activated: <b><font color='#eabe10'>1</font></b> + <b><font color='#eabe10'>1</font></b> for every <b><font color='#eabe10'>300</font></b>/200 <b><font color='#eabe10'>Strength</font></b>"
"modifier_sniper_5_2"		"Increased Number of Attacks when Headshot is activated: <b><font color='#eabe10'>1</font></b> + <b><font color='#eabe10'>1</font></b> for every 300/<b><font color='#eabe10'>200 Strength</font></b>"

"modifier_sniper_6_0"		"Bonus Cast Range: 75/150 <br><br> Cooldown Reduction: 3%/6%"
"modifier_sniper_6_1"		"Bonus Cast Range: <b><font color='#eabe10'>75</font></b>/150 <br><br> Cooldown Reduction: <b><font color='#eabe10'>3%</font></b>/6%"
"modifier_sniper_6_2"		"Bonus Cast Range: 75/<b><font color='#eabe10'>150</font></b> <br><br> Cooldown Reduction: 3%/<b><font color='#eabe10'>6%</font></b>"

"modifier_sniper_7_0"		"<b><font color='#ff0000'> Maximum attack speed is 150. </font></b> <br><br> Increased Headshot Slow Duration: 1 sec. <br><br> Increased Headshot Knockback Distance: 50"
"modifier_sniper_7_1"		"<b><font color='#ff0000'> Maximum attack speed is <b><font color='#eabe10'>150</font></b>. </font></b> <br><br> Increased Headshot Slow Duration: <b><font color='#eabe10'>1</font></b> sec. <br><br> Increased Headshot Knockback Distance: <b><font color='#eabe10'>50</font></b>"

"modifier_sniper_8_0"		"Take Aim increases Attack Speed on activation: 25/50/75"
"modifier_sniper_8_1"		"Take Aim increases Attack Speed on activation: <b><font color='#eabe10'>25</font></b>/50/75"
"modifier_sniper_8_2"		"Take Aim increases Attack Speed on activation: 25/<b><font color='#eabe10'>50</font></b>/75"
"modifier_sniper_8_3"		"Take Aim increases Attack Speed on activation: 25/50/<b><font color='#eabe10'>75</font></b>"

"modifier_sniper_9_0"		"Increases Take Aim Duration: 0.75/1.5 sec."
"modifier_sniper_9_1"		"Increases Take Aim Duration: <b><font color='#eabe10'>0.75</font></b>/1.5 sec."
"modifier_sniper_9_2"		"Increases Take Aim Duration: 0.75/<b><font color='#eabe10'>1.5</font></b> sec."

"modifier_sniper_10_0"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Shrapnel. </font></b> <br><br> New Active Ability: Smoke Grenade <br><br> The hero throws a grenade into the target area, creating a smoke screen. Enemies inside the smoke miss attacks and cannot use abilities. <br><br> Radius: 375 <br> Miss Chance: 100% <br> Duration: 8 sec. <br> Mana Cost: 50 <br> Cooldown: 20 sec."
"modifier_sniper_10_1"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Shrapnel. </font></b> <br><br> New Active Ability: <b><font color='#eabe10'>Smoke Grenade</font></b> <br><br> The hero throws a grenade into the target area, creating a smoke screen. Enemies inside the smoke miss attacks and cannot use abilities. <br><br> Radius: 375 <br> Miss Chance: <b><font color='#eabe10'>100%</font></b> <br> Duration: <b><font color='#eabe10'>8</font></b> sec. <br> Mana Cost: 50 <br> Cooldown: 20 sec."

"modifier_sniper_11_0"		"Hero kills with Assassinate permanently increase Agility: 1/2 <br><br> Hero kills with Assassinate permanently increase Attack Range: 5/10 <br><br> Kills before learning the talent are also counted."
"modifier_sniper_11_1"		"Hero kills with Assassinate permanently increase Agility: <b><font color='#eabe10'>1</font></b>/2 <br><br> Hero kills with Assassinate permanently increase Attack Range: <b><font color='#eabe10'>5</font></b>/10 <br><br> Kills before learning the talent are also counted."
"modifier_sniper_11_2"		"Hero kills with Assassinate permanently increase Agility: 1/<b><font color='#eabe10'>2</font></b> <br><br> Hero kills with Assassinate permanently increase Attack Range: 5/<b><font color='#eabe10'>10</font></b> <br><br> Kills before learning the talent are also counted."

"modifier_sniper_12_0"		"New Passive Ability: Survive <br><br> The hero’s battle experience boosts health and mana regeneration if no damage was taken in the last 3 seconds. <br><br> Health and Mana Regeneration: 1%/2%"
"modifier_sniper_12_1"		"New Passive Ability: <b><font color='#eabe10'>Survive</font></b> <br><br> The hero’s battle experience boosts health and mana regeneration if no damage was taken in the last 3 seconds. <br><br> Health and Mana Regeneration: <b><font color='#eabe10'>1%</font></b>/2%"
"modifier_sniper_12_2"		"New Passive Ability: <b><font color='#eabe10'>Survive</font></b> <br><br> The hero’s battle experience boosts health and mana regeneration if no damage was taken in the last 3 seconds. <br><br> Health and Mana Regeneration: 1%/<b><font color='#eabe10'>2%</font></b>"

"modifier_sniper_13_0"		"Assassinate stuns enemies: 0.5/1/1.5 sec. <br><br> Assassinate Cast Time Reduction: 0.5/1/1.5 sec."
"modifier_sniper_13_1"		"Assassinate stuns enemies: <b><font color='#eabe10'>0.5</font></b>/1/1.5 sec. <br><br> Assassinate Cast Time Reduction: <b><font color='#eabe10'>0.5</font></b>/1/1.5 sec."
"modifier_sniper_13_2"		"Assassinate stuns enemies: 0.5/<b><font color='#eabe10'>1</font></b>/1.5 sec. <br><br> Assassinate Cast Time Reduction: 0.5/<b><font color='#eabe10'>1</font></b>/1.5 sec."
"modifier_sniper_13_3"		"Assassinate stuns enemies: 0.5/1/<b><font color='#eabe10'>1.5</font></b> sec. <br><br> Assassinate Cast Time Reduction: 0.5/1/<b><font color='#eabe10'>1.5</font></b> sec."

"modifier_sniper_14_0"		"Take Aim provides unobstructed vision in all directions."
"modifier_sniper_14_1"		"Take Aim provides <b><font color='#eabe10'>unobstructed vision</font></b> in all directions."

"modifier_sniper_15_0"		"Shrapnel Cooldown Reduction: 10/15/20 sec."
"modifier_sniper_15_1"		"Shrapnel Cooldown Reduction: <b><font color='#eabe10'>10</font></b>/15/20 sec."
"modifier_sniper_15_2"		"Shrapnel Cooldown Reduction: 10/<b><font color='#eabe10'>15</font></b>/20 sec."
"modifier_sniper_15_3"		"Shrapnel Cooldown Reduction: 10/15/<b><font color='#eabe10'>20</font></b> sec."

"modifier_sniper_16_0"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Take Aim. </font></b> <br><br> New Active Ability: Concussive Grenade <br><br> The hero throws a grenade into the target area, propelling himself in the opposite direction. Deals magic damage to enemies, knocks them back from the explosion center, silences them, and slows their movement. <br><br> Damage: 50 + 50%/100%/150% of Attack Damage <br> Radius: 375 <br> Movement Slow: 50% <br> Duration: 2 sec. <br> Knockback Distance: 475 <br> Mana Cost: 50 <br> Cooldown: 20 sec."
"modifier_sniper_16_1"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Take Aim. </font></b> <br><br> New Active Ability: <b><font color='#eabe10'>Concussive Grenade</font></b> <br><br> The hero throws a grenade into the target area, propelling himself in the opposite direction. Deals magic damage to enemies, knocks them back from the explosion center, silences them, and slows their movement. <br><br> Damage: <b><font color='#eabe10'>50</font></b> + <b><font color='#eabe10'>50%</font></b>/100%/150% of Attack Damage <br> Radius: 375 <br> Movement Slow: <b><font color='#eabe10'>50%</font></b> <br> Duration: 2 sec. <br> Knockback Distance: 475 <br> Mana Cost: 50 <br> Cooldown: 20 sec."
"modifier_sniper_16_2"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Take Aim. </font></b> <br><br> New Active Ability: <b><font color='#eabe10'>Concussive Grenade</font></b> <br><br> The hero throws a grenade into the target area, propelling himself in the opposite direction. Deals magic damage to enemies, knocks them back from the explosion center, silences them, and slows their movement. <br><br> Damage: <b><font color='#eabe10'>50</font></b> + 50%/<b><font color='#eabe10'>100%</font></b>/150% of Attack Damage <br> Radius: 375 <br> Movement Slow: <b><font color='#eabe10'>50%</font></b> <br> Duration: 2 sec. <br> Knockback Distance: 475 <br> Mana Cost: 50 <br> Cooldown: 20 sec."
"modifier_sniper_16_3"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Take Aim. </font></b> <br><br> New Active Ability: <b><font color='#eabe10'>Concussive Grenade</font></b> <br><br> The hero throws a grenade into the target area, propelling himself in the opposite direction. Deals magic damage to enemies, knocks them back from the explosion center, silences them, and slows their movement. <br><br> Damage: <b><font color='#eabe10'>50</font></b> + 50%/100%/<b><font color='#eabe10'>150%</font></b> of Attack Damage <br> Radius: 375 <br> Movement Slow: <b><font color='#eabe10'>50%</font></b> <br> Duration: 2 sec. <br> Knockback Distance: 475 <br> Mana Cost: 50 <br> Cooldown: 20 sec."

"modifier_sniper_17_0"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Headshot. </font></b> <br><br> New Active Ability: Flashbang Grenade <br><br> The hero throws a grenade into the target area, reducing enemy vision and stunning them. <br><br> Radius: 375 <br> Vision Reduction: 75% <br> Stun Duration: 1.5s <br> Mana Cost: 50 <br> Cooldown: 20s <br><br><br> If you learn 4 grenades: <br><br> Using Grenades reduces the Cooldown of other Grenades by 2s. <br><br> Spell Damage: 30%"
"modifier_sniper_17_1"		"<b><font color='#ff0000'> Grenade. <br><br> Removes Headshot. </font></b> <br><br> New Active Ability: <b><font color='#eabe10'>Flashbang Grenade</font></b> <br><br> The hero throws a grenade into the target area, reducing enemy vision and stunning them. <br><br> Radius: 375 <br> Vision Reduction: <b><font color='#eabe10'>75%</font></b> <br> Stun Duration: <b><font color='#eabe10'>1.5</font></b>s <br> Mana Cost: 50 <br> Cooldown: 20s <br><br><br> If you learn 4 grenades: <br><br> Using Grenades reduces the Cooldown of other Grenades by <b><font color='#eabe10'>2</font></b>s. <br><br> Spell Damage: <b><font color='#eabe10'>30%</font></b>"

"modifier_sniper_18_0"		"<b><font color='#ff0000'> Shrapnel Duration Reduction: 1/2/3 sec. </font></b> <br><br> Shrapnel Damage Increase: 20/40/60 <br><br> Shrapnel Activation Delay Reduction: 0.3/0.6/0.9 sec."
"modifier_sniper_18_1"		"<b><font color='#ff0000'> Shrapnel Duration Reduction: <b><font color='#eabe10'>1</font></b>/2/3 sec. </font></b> <br><br> Shrapnel Damage Increase: <b><font color='#eabe10'>20</font></b>/40/60 <br><br> Shrapnel Activation Delay Reduction: <b><font color='#eabe10'>0.3</font></b>/0.6/0.9 sec."
"modifier_sniper_18_2"		"<b><font color='#ff0000'> Shrapnel Duration Reduction: 1/<b><font color='#eabe10'>2</font></b>/3 sec. </font></b> <br><br> Shrapnel Damage Increase: 20/<b><font color='#eabe10'>40</font></b>/60 <br><br> Shrapnel Activation Delay Reduction: 0.3/<b><font color='#eabe10'>0.6</font></b>/0.9 sec."
"modifier_sniper_18_3"		"<b><font color='#ff0000'> Shrapnel Duration Reduction: 1/2/<b><font color='#eabe10'>3</font></b> sec. </font></b> <br><br> Shrapnel Damage Increase: 20/40/<b><font color='#eabe10'>60</font></b> <br><br> Shrapnel Activation Delay Reduction: 0.3/0.6/<b><font color='#eabe10'>0.9</font></b> sec."

"modifier_sniper_19_0"		"Shrapnel Radius Increase: 125 <br><br> Shrapnel Damage Increase: 50% of Mana Regeneration"
"modifier_sniper_19_1"		"Shrapnel Radius Increase: <b><font color='#eabe10'>125</font></b> <br><br> Shrapnel Damage Increase: <b><font color='#eabe10'>50%</font></b> of Mana Regeneration"

"modifier_sniper_20_0" "Increases Shrapnel Charges: 1/2 <br><br> Reduces Ability Cast Point: 25%/50%"
"modifier_sniper_20_1" "Increases Shrapnel Charges: <b><font color='#eabe10'>1</font></b>/2 <br><br> Reduces Ability Cast Point: <b><font color='#eabe10'>25%</font></b>/50%"
"modifier_sniper_20_2" "Increases Shrapnel Charges: 1/<b><font color='#eabe10'>2</font></b> <br><br> Reduces Ability Cast Point: 25%/<b><font color='#eabe10'>50%</font></b>"

"modifier_sniper_21_0" "Effects of multiple Shrapnel stack. <br><br> Assassinate Damage Increase: 500"
"modifier_sniper_21_1" "Effects of multiple Shrapnel <b><font color='#eabe10'>stack</font></b>. <br><br> Assassinate Damage Increase: <b><font color='#eabe10'>500</font></b>"



		//TALENTS MONKEY KING



"modifier_monkey_king_1_0"		"Every 4th attack on an enemy creep grants 1 empowered Jingu Mastery attack. <br><br> Strength: 5"
"modifier_monkey_king_1_1"		"Every <b><font color='#eabe10'>4</font></b>th attack on an enemy creep grants <b><font color='#eabe10'>1</font></b> empowered Jingu Mastery attack. <br><br> Strength: <b><font color='#eabe10'>5</font></b>"

"modifier_monkey_king_2_0"		"<b><font color='#ff0000'> Removes Tree Dance, Primal Spring. </font></b> <br><br> Increased Lifesteal from Jingu Mastery: 5%/10% <br><br> Increased Damage from Jingu Mastery: 40/80 <br><br> Increased Spell Lifesteal from Jingu Magic: 5%/10% <br><br> Increased Spell Damage from Jingu Magic: 5%/10%"
"modifier_monkey_king_2_1"		"<b><font color='#ff0000'> Removes Tree Dance, Primal Spring. </font></b> <br><br> Increased Lifesteal from Jingu Mastery: <b><font color='#eabe10'>5%</font></b>/10% <br><br> Increased Damage from Jingu Mastery: <b><font color='#eabe10'>40</font></b>/80 <br><br> Increased Spell Lifesteal from Jingu Magic: <b><font color='#eabe10'>5%</font></b>/10% <br><br> Increased Spell Damage from Jingu Magic: <b><font color='#eabe10'>5%</font></b>/10%"
"modifier_monkey_king_2_2"		"<b><font color='#ff0000'> Removes Tree Dance, Primal Spring. </font></b> <br><br> Increased Lifesteal from Jingu Mastery: 5%/<b><font color='#eabe10'>10%</font></b> <br><br> Increased Damage from Jingu Mastery: 40/<b><font color='#eabe10'>80</font></b> <br><br> Increased Spell Lifesteal from Jingu Magic: 5%/<b><font color='#eabe10'>10%</font></b> <br><br> Increased Spell Damage from Jingu Magic: 5%/<b><font color='#eabe10'>10%</font></b>"

"modifier_monkey_king_3_0"		"Creates a Wukong's Command soldier nearby every few seconds. Each soldier has its own Jingu Mastery charge counter. <br><br> Soldier Interval: 6 sec. <br> Soldier Duration: 1/2/3 + 2 sec. for every 50 Strength"
"modifier_monkey_king_3_1"		"Creates a Wukong's Command soldier nearby every few seconds. Each soldier has its own Jingu Mastery charge counter. <br><br> Soldier Interval: <b><font color='#eabe10'>6</font></b> sec. <br> Soldier Duration: <b><font color='#eabe10'>1</font></b>/2/3 + <b><font color='#eabe10'>2</font></b> sec. for every <b><font color='#eabe10'>50 Strength</font></b>"
"modifier_monkey_king_3_2"		"Creates a Wukong's Command soldier nearby every few seconds. Each soldier has its own Jingu Mastery charge counter. <br><br> Soldier Interval: <b><font color='#eabe10'>6</font></b> sec. <br> Soldier Duration: 1/<b><font color='#eabe10'>2</font></b>/3 + <b><font color='#eabe10'>2</font></b> sec. for every <b><font color='#eabe10'>50 Strength</font></b>"
"modifier_monkey_king_3_3"		"Creates a Wukong's Command soldier nearby every few seconds. Each soldier has its own Jingu Mastery charge counter. <br><br> Soldier Interval: <b><font color='#eabe10'>6</font></b> sec. <br> Soldier Duration: 1/2/<b><font color='#eabe10'>3</font></b> + <b><font color='#eabe10'>2</font></b> sec. for every <b><font color='#eabe10'>50 Strength</font></b>"

"modifier_monkey_king_4_0"		"Bonus Attack Range: 75"
"modifier_monkey_king_4_1"		"Bonus Attack Range: <b><font color='#eabe10'>75</font></b>"

"modifier_monkey_king_5_0"		"Reduces Wukong's Command soldiers' attack interval: 0.1/0.2/0.3 sec."
"modifier_monkey_king_5_1"		"Reduces Wukong's Command soldiers' attack interval: <b><font color='#eabe10'>0.1</font></b>/0.2/0.3 sec."
"modifier_monkey_king_5_2"		"Reduces Wukong's Command soldiers' attack interval: 0.1/<b><font color='#eabe10'>0.2</font></b>/0.3 sec."
"modifier_monkey_king_5_3"		"Reduces Wukong's Command soldiers' attack interval: 0.1/0.2/<b><font color='#eabe10'>0.3</font></b> sec."

"modifier_monkey_king_6_0"		"Reduces Wukong's Command cooldown: 15/30/45 sec."
"modifier_monkey_king_6_1"		"Reduces Wukong's Command cooldown: <b><font color='#eabe10'>15</font></b>/30/45 sec."
"modifier_monkey_king_6_2"		"Reduces Wukong's Command cooldown: 15/<b><font color='#eabe10'>30</font></b>/45 sec."
"modifier_monkey_king_6_3"		"Reduces Wukong's Command cooldown: 15/30/<b><font color='#eabe10'>45</font></b> sec."

"modifier_monkey_king_7_0"		"<b><font color='#ff0000'> Changing of the Guard Cooldown Increase: 10 sec. </font></b> <br><br> Changing of the Guard is always active and can be used without Wukong's Command."
"modifier_monkey_king_7_1"		"<b><font color='#ff0000'> Changing of the Guard Cooldown Increase: <b><font color='#eabe10'>10</font></b> sec. </font></b> <br><br> Changing of the Guard is always <b><font color='#eabe10'>active</font></b> and can be used without Wukong's Command."

"modifier_monkey_king_8_0"		"Health Regeneration: 3/6 <br><br> Mana Regeneration: 3/6"
"modifier_monkey_king_8_1"		"Health Regeneration: <b><font color='#eabe10'>3</font></b>/6 <br><br> Mana Regeneration: <b><font color='#eabe10'>3</font></b>/6"
"modifier_monkey_king_8_2"		"Health Regeneration: 3/<b><font color='#eabe10'>6</font></b> <br><br> Mana Regeneration: 3/<b><font color='#eabe10'>6</font></b>"

"modifier_monkey_king_9_0"		"Increases Boundless Strike Critical Damage: 25%/50%"
"modifier_monkey_king_9_1"		"Increases Boundless Strike Critical Damage: <b><font color='#eabe10'>25%</font></b>/50%"
"modifier_monkey_king_9_2"		"Increases Boundless Strike Critical Damage: 25%/<b><font color='#eabe10'>50%</font></b>"

"modifier_monkey_king_10_0"		"Each attack reduces Boundless Strike cooldown: 0.2/0.3/0.4 sec."
"modifier_monkey_king_10_1"		"Each attack reduces Boundless Strike cooldown: <b><font color='#eabe10'>0.2</font></b>/0.3/0.4 sec."
"modifier_monkey_king_10_2"		"Each attack reduces Boundless Strike cooldown: 0.2/<b><font color='#eabe10'>0.3</font></b>/0.4 sec."
"modifier_monkey_king_10_3"		"Each attack reduces Boundless Strike cooldown: 0.2/0.3/<b><font color='#eabe10'>0.4</font></b> sec."

"modifier_monkey_king_11_0"		"Boundless Strike becomes a toggleable ability. <br><br> When this ability is active, the hero jumps to the end of his staff as soon as it hits the ground."
"modifier_monkey_king_11_1"		"Boundless Strike becomes a toggleable ability. <br><br> When this ability is active, the hero <b><font color='#eabe10'>jumps</font></b> to the end of his staff as soon as it hits the ground."

"modifier_monkey_king_12_0"		"Reduces Boundless Strike Cast Point: 25%/50% <br><br> Reduced Mana Cost for Boundless Strike: 25%/50%"
"modifier_monkey_king_12_1"		"Reduces Boundless Strike Cast Point: <b><font color='#eabe10'>25%</font></b>/50% <br><br> Reduced Mana Cost for Boundless Strike: <b><font color='#eabe10'>25%</font></b>/50%"
"modifier_monkey_king_12_2"		"Reduces Boundless Strike Cast Point: 25%/<b><font color='#eabe10'>50%</font></b> <br><br> Reduced Mana Cost for Boundless Strike: 25%/<b><font color='#eabe10'>50%</font></b>"

"modifier_monkey_king_13_0"     "<b><font color='#ff0000'> Increased Mischief Cooldown: 5 sec. </font></b> <br><br> Mischief always transforms into a Rune. When the disguise ends, the hero gains a short bonus of the corresponding Rune: Damage Boost, Arcane, Haste, Illusions, Regeneration, Shield. <br><br> Rune Effect Duration: 1/2/3 sec."
"modifier_monkey_king_13_1"     "<b><font color='#ff0000'> Increased Mischief Cooldown: <b><font color='#eabe10'>5</font></b> sec. </font></b> <br><br> Mischief always transforms into a <b><font color='#eabe10'>Rune</font></b>. When the disguise ends, the hero gains a short bonus of the corresponding Rune: Damage Boost, Arcane, Haste, Illusions, Regeneration, Shield. <br><br> Rune Effect Duration: <b><font color='#eabe10'>1</font></b>/2/3 sec."
"modifier_monkey_king_13_2"     "<b><font color='#ff0000'> Increased Mischief Cooldown: <b><font color='#eabe10'>5</font></b> sec. </font></b> <br><br> Mischief always transforms into a <b><font color='#eabe10'>Rune</font></b>. When the disguise ends, the hero gains a short bonus of the corresponding Rune: Damage Boost, Arcane, Haste, Illusions, Regeneration, Shield. <br><br> Rune Effect Duration: 1/<b><font color='#eabe10'>2</font></b>/3 sec."
"modifier_monkey_king_13_3"     "<b><font color='#ff0000'> Increased Mischief Cooldown: <b><font color='#eabe10'>5</font></b> sec. </font></b> <br><br> Mischief always transforms into a <b><font color='#eabe10'>Rune</font></b>. When the disguise ends, the hero gains a short bonus of the corresponding Rune: Damage Boost, Arcane, Haste, Illusions, Regeneration, Shield. <br><br> Rune Effect Duration: 1/2/<b><font color='#eabe10'>3</font></b> sec."

"modifier_monkey_king_14_0"		"Each attack has an 80% chance to pierce evasion and deal 70 bonus magic damage."
"modifier_monkey_king_14_1"		"Each attack has a <b><font color='#eabe10'>80%</font></b> chance to pierce evasion and deal <b><font color='#eabe10'>70</font></b> bonus magic damage."

"modifier_monkey_king_15_0"		"Increases Primal Spring Damage: 80%/120%/160% of Intellect"
"modifier_monkey_king_15_1"		"Increases Primal Spring Damage: <b><font color='#eabe10'>80%</font></b>/120%/160% of Intellect"
"modifier_monkey_king_15_2"		"Increases Primal Spring Damage: 80%/<b><font color='#eabe10'>120%</font></b>/160% of Intellect"
"modifier_monkey_king_15_3"		"Increases Primal Spring Damage: 80%/120%/<b><font color='#eabe10'>160%</font></b> of Intellect"

"modifier_monkey_king_16_0"		"Primal Spring Cooldown Reduction: 1/2 sec. <br><br> Intellect: 5/10"
"modifier_monkey_king_16_1"		"Primal Spring Cooldown Reduction: <b><font color='#eabe10'>1</font></b>/2 sec. <br><br> Intellect: <b><font color='#eabe10'>5</font></b>/10"
"modifier_monkey_king_16_2"		"Primal Spring Cooldown Reduction: 1/<b><font color='#eabe10'>2</font></b> sec. <br><br> Intellect: 5/<b><font color='#eabe10'>10</font></b>"

"modifier_monkey_king_17_0"     "Primal Spring can be used from Mischief. <br><br> Using Mischief grants a Barrier that absorbs Any Damage: 200/400 <br><br> Effect Duration: 24 sec."
"modifier_monkey_king_17_1"     "Primal Spring can be used from <b><font color='#eabe10'>Mischief</font></b>. <br><br> Using Mischief grants a Barrier that absorbs Any Damage: <b><font color='#eabe10'>200</font></b>/400 <br><br> Effect Duration: 24 sec."
"modifier_monkey_king_17_2"     "Primal Spring can be used from <b><font color='#eabe10'>Mischief</font></b>. <br><br> Using Mischief grants a Barrier that absorbs Any Damage: 200/<b><font color='#eabe10'>400</font></b> <br><br> Effect Duration: 24 sec."

"modifier_monkey_king_18_0"		"<b><font color='#ff0000'> Removes Jingu Mastery. </font></b> <br><br> New Passive Ability: Jingu Magic <br><br> Using items or abilities awakens the power of the Jingu Bang. Every 4th item or ability activation grants bonus spell damage and spell lifesteal. <br><br> Buff Duration: 4 sec. <br> Spell Damage: 5%/10%/15% <br> Spell Lifesteal: 10%/15%/20%"
"modifier_monkey_king_18_1"		"<b><font color='#ff0000'> Removes Jingu Mastery. </font></b> <br><br> New Passive Ability: <b><font color='#eabe10'>Jingu Magic</font></b> <br><br> Using items or abilities awakens the power of the Jingu Bang. Every 4th item or ability activation grants bonus spell damage and spell lifesteal. <br><br> Buff Duration: <b><font color='#eabe10'>4</font></b> sec. <br> Spell Damage: <b><font color='#eabe10'>5%</font></b>/10%/15% <br> Spell Lifesteal: <b><font color='#eabe10'>10%</font></b>/15%/20%"
"modifier_monkey_king_18_2"		"<b><font color='#ff0000'> Removes Jingu Mastery. </font></b> <br><br> New Passive Ability: <b><font color='#eabe10'>Jingu Magic</font></b> <br><br> Using items or abilities awakens the power of the Jingu Bang. Every 4th item or ability activation grants bonus spell damage and spell lifesteal. <br><br> Buff Duration: <b><font color='#eabe10'>4</font></b> sec. <br> Spell Damage: 5%/<b><font color='#eabe10'>10%</font></b>/15% <br> Spell Lifesteal: 10%/<b><font color='#eabe10'>15%</font></b>/20%"
